FID_1,Nat_EMIS_N,GIS_Long,GIS_Lat,SP_Name,Name,Sector,PASSRATE,Employed,Unemployed,Notactive,FemaleHead,african,Coloured,Indian,White,Owned,Telephone,Easting,Northing
128,999042109,18.680297,-34.007367,Mfuleni,MANZOMTHOMBO,,75.0,22,42,10,27,98,2,0,0,11,0,-29533.180941,-3764524.655380
173,103007278,18.519141,-33.881913,Century City,ABBOTT'S,INDEPENDENT,99.0,95,0,0,0,0,0,0,0,0,100,-44485.632706,-3750667.145560
190,102310219,18.554795,-33.914743,Ruyterwacht,GOODWOOD,PUBLIC,95.8,40,7,22,29,2,80,2,17,67,77,-41171.371889,-3754293.848300
202,102483591,18.592542,-33.934053,Connaught,ST.ANDREW'S,PUBLIC,75.2,27,18,22,43,3,95,2,0,61,56,-37672.105326,-3756421.260900
179,102310245,18.549629,-33.907994,Goodwood Estate,J.G.MEIRING,PUBLIC,96.8,45,4,23,23,2,20,3,75,76,87,-41652.396580,-3753547.318420
203,102483567,18.597946,-33.934006,Uitsig,UITZIG,PUBLIC,75.0,25,17,23,41,2,98,0,0,32,43,-37172.488153,-3756414.077160
187,102062450,18.586329,-33.924951,Cravenby,CRAVENBY,PUBLIC,84.9,39,8,25,37,1,20,78,1,69,82,-38250.609562,-3755413.944800
160,107008031,18.670330,-33.989890,Mfuleni,MFULENI,PUBLIC,77.8,23,25,20,37,94,6,0,0,35,28,-30460.163696,-3762589.008050
32,101323500,18.610716,-33.944573,Belhar 1,BELHAR,PUBLIC,85.2,42,5,28,26,5,92,2,1,86,91,-35987.365878,-3757581.641080
199,101007216,18.617770,-33.940637,Bonteheuwel,IQRA,INDEPENDENT,81.8,42,5,28,26,5,92,2,1,86,91,-35336.881317,-3757142.599320
172,107323845,18.651717,-33.973274,Voorbrug,VOORBRUG,PUBLIC,46.8,26,15,25,27,4,96,0,0,82,51,-32186.198850,-3760751.602480
188,102483427,18.577465,-33.915793,Leonsdale,ELSWOOD,PUBLIC,42.9,26,18,22,51,4,96,0,0,38,43,-39074.416605,-3754401.458370
198,101323616,18.620769,-33.945358,Belhar 4,EXCELSIOR,PUBLIC,70.2,39,9,24,23,9,89,2,0,86,85,-35057.689082,-3757665.234730
193,101323624,18.600558,-33.927954,Ravensmead,RAVENSMEAD,PUBLIC,93.7,34,12,23,35,2,97,0,0,76,66,-36933.602802,-3755741.833270
27,107324078,18.659218,-33.973618,Diepwater,WESBANK,PUBLIC,62.7,24,24,14,34,13,87,0,0,50,31,-31492.872050,-3760787.430540
184,103353491,18.509155,-33.874055,Joe Slovo Park,SENENJONGO,PUBLIC,97.3,27,21,22,34,97,3,0,0,31,19,-45413.636928,-3749799.889920
183,102310280,18.569164,-33.903558,Richmond Estate,SIDENT,PUBLIC,95.1,44,4,24,20,2,18,1,78,74,83,-39847.760006,-3753047.518170
30,102310231,18.563252,-33.898483,Richmond Estate,FAIRBAIRN,PUBLIC,100.0,44,4,24,20,2,18,1,78,74,83,-40396.954713,-3752486.899150
189,101323373,18.605807,-33.925584,Ravensmead,FLORIDA,PUBLIC,50.9,34,12,23,35,2,97,0,0,76,66,-36449.271101,-3755477.071810
170,107323101,18.648136,-33.960569,Roosendal,ROSENDAAL,PUBLIC,59.8,28,13,23,27,2,97,0,0,84,55,-32521.970188,-3759343.461010
178,102007204,18.561175,-33.897503,Vasco Estate,EMMANUEL,INDEPENDENT,80.0,45,4,25,21,2,17,2,79,77,85,-40589.532348,-3752379.014500
163,101323659,18.632777,-33.944255,Belhar 6,SYMPHONY,PUBLIC,63.3,40,8,26,22,10,85,2,2,84,84,-33948.051686,-3757538.849580
180,103310260,18.496813,-33.871765,Milnerton SP,MILNERTON,PUBLIC,99.4,46,4,20,19,5,7,2,86,71,86,-46556.789744,-3749551.400370
161,101323772,18.644731,-33.948423,Belhar 16,PERSEVERANCE,PUBLIC,71.6,29,16,23,44,1,98,0,0,74,61,-32841.353908,-3757997.282770
129,107323187,18.699754,-34.001747,Tuscany Glen,TUSCANY GLEN,PUBLIC,65.4,41,7,19,34,7,92,1,0,88,77,-27737.642585,-3763895.865860
127,107323802,18.695439,-33.994499,Malibu Village,MALIBU,PUBLIC,83.2,34,10,20,27,6,93,1,0,87,67,-28138.666533,-3763093.072950
125,107323853,18.708305,-34.002296,Forest Heights,FOREST HEIG,PUBLIC,57.1,38,8,22,41,5,93,1,1,85,71,-26947.499095,-3763954.480540
181,102008374,18.555762,-33.879507,,,,87.5,46,2,26,11,2,4,2,93,93,96,-41098.846480,-3750385.020460
124,107323861,18.731396,-34.018846,High Places,EERSTERIVIER,PUBLIC,84.2,28,19,18,35,4,95,1,0,77,56,-24809.475901,-3765784.423810
126,110323527,18.764907,-34.063217,Macassar SP,MACASSAR,PUBLIC,59.4,34,10,21,28,1,98,0,0,67,52,-21702.937061,-3770698.597710
177,102310230,18.552306,-33.871627,Edgemead,EDGEMEAD,PUBLIC,100.0,47,2,22,17,1,3,1,95,88,96,-41422.388981,-3749512.346910
28,102310204,18.534372,-33.859600,Bothasig,BOSMANSDAM,PUBLIC,98.4,46,3,21,18,1,7,1,90,86,91,-43087.728486,-3748185.665170
130,110323780,18.764701,-34.055957,Macassar SP,ZANDVLIET,PUBLIC,69.7,34,10,21,28,1,98,0,0,67,52,-21723.806494,-3769893.334540
159,107323977,18.675388,-33.949818,Kuils River,KUI RIVER,PUBLIC,90.1,43,4,22,22,9,90,1,1,86,79,-30006.894380,-3758142.629240
191,101310274,18.602830,-33.901283,Oostersee,PAROW,PUBLIC,95.7,45,4,25,30,1,10,1,88,63,80,-36734.968020,-3752782.621240
13,107323888,18.704331,-33.983094,Dennemere,BLACKHEATH,PUBLIC,54.6,38,8,22,22,3,97,0,0,91,78,-27320.819520,-3761825.551110
194,101310310,18.594447,-33.893301,De Tijger,TYGERBERG,PUBLIC,99.5,50,3,26,14,0,3,4,93,86,96,-37513.826804,-3751900.274630
118,107323578,18.712480,-33.987857,Kleinvlei,KLEINVLEI,PUBLIC,83.2,29,15,21,38,3,97,0,0,60,45,-26566.294926,-3762351.775620
157,101323349,18.637909,-33.919405,Bellville Lot 2,BELLVILLE-SUID,PUBLIC,54.4,33,11,23,35,2,97,1,0,46,53,-33483.343715,-3754780.751880
162,105008252,18.680257,-33.948613,Highbury,SILVERSANDS,PUBLIC,81.8,43,4,22,22,9,90,1,1,86,79,-29557.222378,-3758007.554650
210,101310308,18.607752,-33.897307,Bellville West,THE SETTLERS,PUBLIC,99.1,22,4,14,60,3,12,0,85,7,89,-36281.404629,-3752339.847840
158,101323586,18.643660,-33.916205,Mimosa,KASSELSVLEI KOM,PUBLIC,67.2,33,11,23,35,2,97,1,0,46,53,-32952.765414,-3754423.941790
16,107003389,18.669065,-33.936865,Kalkfontein,GOOD HOPE,INDEPENDENT,77.6,35,10,24,28,3,96,0,0,79,73,-30595.995558,-3756707.738100
29,102008218,18.550940,-33.857664,Tijgerhof,UNITY CHRISTIAN,INDEPENDENT,100.0,46,3,21,18,1,7,1,90,86,91,-41555.541867,-3747964.104810
186,103310307,18.498277,-33.831161,Flamingo Vlei,TABLE VIEW,PUBLIC,100.0,50,3,20,26,2,2,1,95,74,88,-46443.303235,-3745046.888490
155,107008229,18.679197,-33.939578,Bellville Teachers' Tra,WESTERN CAPE ORT,PUBLIC,84.6,43,4,22,22,9,90,1,1,86,79,-29658.322778,-3757005.655470
175,103008276,18.489451,-33.827452,Table View,CAPE TOWN,INDEPENDENT,100.0,50,3,20,26,2,2,1,95,74,88,-47262.354211,-3744639.500820
205,101310217,18.627111,-33.893679,Boston,D.F. MALAN,PUBLIC,100.0,47,2,21,26,2,6,1,90,65,83,-34492.223618,-3751930.756840
156,101324612,18.653361,-33.917592,Glenhaven,ATHLONE  SCHOOL FO,PUBLIC,45.2,41,2,30,20,4,91,5,1,65,87,-32055.125699,-3754574.682640
120,107323748,18.665802,-33.926949,Sarepta,SAREPTA,PUBLIC,58.3,42,3,27,24,1,97,1,0,87,87,-30901.281673,-3755608.799400
116,101007208,18.644864,-33.901057,Belgravia,BOSTON,INDEPENDENT,93.2,54,2,20,24,2,6,0,92,49,74,-32847.234293,-3752743.316450
174,103008009,18.487498,-33.817504,Blouberg Rise,BLOUBERGRANT,PUBLIC,100.0,50,3,20,26,2,2,1,95,74,88,-47448.642518,-3743536.958430
24,101303200,18.662556,-33.912702,Labiance,BELLVILLE,PUBLIC,97.4,42,4,21,20,4,32,1,64,80,85,-31206.607064,-3754029.527360
15,107310218,18.685121,-33.925611,Elim,DE KUILEN,PUBLIC,98.6,40,3,26,15,1,22,1,76,78,89,-29115.417967,-3755454.738790
117,107315607,18.680553,-33.924172,Elim,JAN KRIEL,PUBLIC,95.0,40,3,26,15,1,22,1,76,78,89,-29538.318587,-3755296.451910
23,110007281,18.832810,-34.118229,Die Bos,VALSBAAI,INDEPENDENT,100.0,31,3,21,42,4,3,0,93,35,80,-15424.388697,-3776788.434000
115,101310200,18.648534,-33.893101,Chrismar,BELLVILLE,PUBLIC,99.2,36,2,21,22,1,4,0,95,70,88,-32510.806179,-3751859.658920
182,103007232,18.508971,-33.817684,Parklands,PARKLANDS,INDEPENDENT,100.0,57,3,13,21,4,4,2,89,77,80,-45460.507276,-3743547.234270
154,101008201,18.833713,-34.110221,Strand SP,MIL STREET,INDEPENDENT,100.0,31,4,25,30,2,3,0,94,55,81,-15342.526735,-3775900.013610
153,111007200,18.842433,-34.121960,Weltevreden,MADRASATUR RAJAA,INDEPENDENT,93.3,31,14,22,31,1,95,3,1,44,54,-14535.963709,-3777200.882860
151,111310327,18.839386,-34.101963,Strand SP,STRAND,PUBLIC,100.0,31,4,25,30,2,3,0,94,55,81,-14820.544779,-3774983.162000
152,111323721,18.849020,-34.122912,Onverwacht,STRAND,PUBLIC,61.3,26,14,27,49,19,79,0,2,6,9,-13928.139269,-3777305.565380
147,110323438,18.834593,-34.086335,Firgrove Rural,GORDON,PUBLIC,76.0,46,5,19,17,5,90,0,5,82,81,-15265.621269,-3773250.343140
150,111323896,18.857498,-34.127132,Rusthof,RUSTHOF,PUBLIC,78.9,32,12,22,29,4,93,1,1,80,62,-13145.376857,-3777772.544260
22,111322504,18.857934,-34.108121,Strand SP,SIMANYENE,PUBLIC,46.9,42,5,24,20,0,4,0,95,89,92,-13108.089947,-3775663.699890
148,110310242,18.845407,-34.092691,Van Der Stel,HOTTENTOTS-HOLLAND,PUBLIC,97.3,43,4,26,16,1,6,0,93,79,90,-14266.516376,-3773953.815080
123,110007510,18.844401,-34.079589,Andas Estate,SOMERSET WEST,INDEPENDENT,100.0,41,4,19,31,3,23,1,72,41,84,-14361.566487,-3772500.628440
33,101310232,18.641060,-33.852968,Eversdal Heights,FAIRMONT,PUBLIC,100.0,48,2,27,10,2,7,1,90,85,94,-33217.692339,-3747410.417090
209,101310326,18.662111,-33.863589,Stellenryk,STELLENBERG,PUBLIC,99.2,48,1,28,19,1,2,0,97,86,96,-31265.681429,-3748581.947410
176,103000802,18.510465,-33.809855,Parklands Ext,CBC GREEN,INDEPENDENT,100.0,46,4,20,19,5,7,2,86,71,86,-45326.317355,-3742678.178290
185,103007427,18.486758,-33.801928,Sunningdale,SUNNINGDALE,INDEPENDENT,100.0,46,4,20,19,5,7,2,86,71,86,-47525.735555,-3741809.574960
21,111323942,18.865033,-34.118896,Lwandle,KHANYOLWETHU,PUBLIC,24.4,28,4,45,37,99,1,0,0,1,7,-12451.502724,-3776858.023980
31,103373443,18.541814,-33.812464,Dunoon,INKWENKWEZI,PUBLIC,69.2,46,4,20,19,5,7,2,86,71,86,-42422.383684,-3742954.211230
14,107310205,18.687605,-33.871269,Arauna,BRACKENFELL,PUBLIC,99.7,47,2,21,9,1,8,0,91,92,92,-28904.062648,-3749426.358240
206,101310227,18.643223,-33.830781,Durbanville SP,DURBANVILLE,PUBLIC,99.3,45,2,20,24,2,5,0,93,64,84,-33026.063372,-3744948.773080
149,110310273,18.857374,-34.066553,Parel Vallei,PAREL,PUBLIC,100.0,38,2,30,12,0,1,0,98,84,97,-13166.192698,-3771052.879170
131,110000838,18.841221,-34.053233,Helderrand,HELDERBERG,INDEPENDENT,100.0,42,8,24,16,42,38,0,20,9,45,-14659.614434,-3769577.573400
264,101007210,18.684972,-33.843863,Sonstraal Heights,CURRO,INDEPENDENT,72.3,54,1,17,17,1,2,0,96,69,71,-29156.991550,-3746387.215600
204,101323764,18.726409,-33.866292,Scottsdene,BERNADINO HEIGHTS,PUBLIC,86.7,32,12,22,31,2,98,0,0,68,53,-25315.215832,-3748864.074380
122,101323632,18.712386,-33.851991,Peerless Park West,SCOTTSVILLE,PUBLIC,61.3,34,12,24,37,1,99,0,0,77,64,-26617.196445,-3747281.343240
121,101323039,18.724391,-33.861144,Scottsdene,SCOTTSDENE,PUBLIC,45.0,32,12,22,31,2,98,0,0,68,53,-25503.471305,-3748293.554770
34,107323136,18.732237,-33.859142,Wallacedene,HECTOR PETERSON,PUBLIC,54.8,24,33,13,34,81,19,0,0,50,10,-24778.059631,-3748069.551160
119,101310264,18.713820,-33.838766,Windsor Park Estate,MONUMENT,PUBLIC,98.0,46,10,14,19,1,43,1,56,50,40,-26488.567497,-3745814.054400
207,101310229,18.728585,-33.845676,Belmont Park,EBEN DONGES,PUBLIC,89.5,39,6,25,20,5,46,1,49,84,74,-25119.906122,-3746576.808590
35,107007987,18.747913,-33.842902,Kraaifontein East NU,BLOEKOMBOS,PUBLIC,75.8,17,39,14,32,92,8,0,0,52,5,-23331.832394,-3746264.531050
208,107393436,18.747978,-33.842753,Bloekombos,BLOEKOMBOS,PUBLIC,95.7,17,39,14,32,92,8,0,0,52,5,-23325.841631,-3746248.023140
165,132473332,18.499836,-33.574482,Protea Park,PROTEUS,PUBLIC,55.0,30,15,21,33,1,98,0,0,79,53,-46436.899896,-3716575.693250
164,132473316,18.486395,-33.565779,Avondale,ATLANTIS,PUBLIC,70.0,30,15,21,33,1,98,0,0,79,53,-47689.605162,-3715616.493460
166,132473464,18.504440,-33.566794,Robinvale,ROBINVALE,PUBLIC,69.8,29,15,22,32,2,98,0,0,60,52,-46013.523340,-3715720.914750
167,132473324,18.486000,-33.548746,Saxonsea,SAXONSEA,PUBLIC,81.1,30,13,22,34,4,96,0,0,82,54,-47735.651134,-3713727.440280
238,106042203,18.583454,-33.993954,New Crossroads,OSCAR MPETHA,PUBLIC,41.8,19,28,22,51,100,0,0,0,35,38,-38485.367440,-3763069.023320
